institution,ukprn,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
"University of Salford, The",10007156,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",f4dc7ac5-25f3-4c05-9dcc-5ef75994ced2,Shaping the jazz aesthetic: innovations in the recording and production of contemporary jazz.,D,3.5,High,36.47439011428716,11.713706412083928,16.345007103016258,17.995494524424757,0.3015,0.0,0.2846,0.6185,0.8002,16,8,10,###; ###  4,4.0,1505,19
Birkbeck College,10007760,32.0,"Art and Design: History, Practice and Theory",f84c8965-1e54-40fd-9b3c-7e68a9aebaec,The Importance of Diversity in News Sources: Blocking a Major Media Merger,D,3.667,High,17.880831062670325,11.711280024429202,16.6312660331299,21.467657138844025,0.2065,-0.0772,0.0258,0.4588,0.6908,27,6,5,£11.7 billion; £11.7 billion; £54.2 billion,77600000000.0,1473,21
The Open University,10007773,23.0,Education,84a4ad06-92ef-4178-8b53-fd9d3ada750a,Transforming English Language Teaching across Bangladesh,C,3.0009999999999994,Low,35.93001768033949,12.541706600660067,14.94152079338524,16.974144736842106,0.1832,0.0,0.0,0.4215,0.6537,36,6,7,###; ###  4,4.0,2128,14
University of Oxford,10007774,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",3c54584b-5c70-4b2d-a90a-4cd28bac0e4d,'Vehicles': Inspiring Creativity and Innovative Thinking in Young People,D,2.5010000000000003,Low,25.269703932832527,12.165942922374429,17.926852401261222,22.266767161817704,0.3852,0.0,0.4404,0.7269,0.8402,8,7,4,###; ###  4,4.0,1101,13
Heriot-Watt University,10007764,25.0,Area Studies,d292cf2d-0773-4452-8515-5b0e0752bdb4,"""Community Placemaking"" through Heritage Work",D,3.25,High,22.459064593301463,13.120354223437381,17.931933174767593,19.536696853067696,0.2738,0.0,0.0,0.5789,0.7844,46,11,15,###; ###  4,4.0,1893,22
The University of East Anglia,10007789,5.0,Biological Sciences,baf6d3df-a6c7-4c8c-b958-82768271d1d0,"""Superdosing"" with phytase: improving animal feed with a new understanding of enzyme action",A,3.4170000000000003,High,26.16719365501595,13.48958068926399,17.680133003309923,20.643848173649197,0.1387,-0.2546,0.0,0.4016,0.5772,15,9,9,more than 10 billion; as much as €2 billion; as high as €5,12000000005.0,1254,10
The University of Liverpool,10006842,34.0,"Communication, Cultural and Media Studies, Library and Information Management",13822b1e-9ea7-426c-8d72-a8f061d7924a,#Speakout: tackling online harassment in student communities,D,3.8329999999999997,High,19.424680431624836,13.080970772887623,17.53684061080351,21.05716868479881,-0.1116,-0.6984,-0.0644,0.2369,0.5859,22,5,3,,0.0,1760,22
Swansea University / Prifysgol Abertawe,10007855,26.0,Modern Languages and Linguistics,9d4284f3-e9e8-4d8b-9f62-df68c52fdb35,(Re)Discovering Europeans’ Visions of Wales: Enriching Welsh Educational and Creative Practices,D,2.5,Low,17.155232527383646,13.133292407269108,18.643177196211187,21.001536844708205,0.3783,0.0,0.3818,0.6987,0.8625,22,10,10,###; ###  4; 284 Year 3\-6,288.0,1348,15
King's College London,10003645,28.0,History,a55bb562-0696-4665-8480-0ebd649f926d,(Towards) Informed Intelligence: Embedding Knowledge and Building Capacity in UK Intelligence Tradecraft,D,3.7859999999999996,High,-1.6198832315003244,13.653535655125594,21.284491678506967,25.18132392473118,0.4682,0.0,0.5574,0.8314,0.8947,28,2,3,###; ###  4,4.0,992,13
Goldsmiths' College,10002718,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",54b2816b-2569-40de-890b-d097f6f038c6,"‘Auraldiversity’: how a creative arts practice generated new professional, public and policy responses to people’s diverse experiences of their acoustic environment",D,3.167,High,22.561794419590512,12.625309633446863,17.49520154711332,18.96152228439128,0.2586,0.0,0.0,0.6059,0.8052,31,20,5,###; ###  4,4.0,1752,18
Queen's University of Belfast,10005343,20.0,Social Work and Social Policy,c2ac4193-ff3d-4bde-9641-12309a896394,‘Avoiding a hard border’: Multi-level impact on the management of Brexit for Northern Ireland,C,3.75,High,27.088708401305098,12.678240815660685,17.618919080996143,19.490602605863195,0.1522,-0.0886,0.0,0.4111,0.7017,40,27,17,,0.0,1842,23
University of Greenwich,10007146,20.0,Social Work and Social Policy,de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2,‘Building Trust and Shared Leadership in a Community of Practice for Dialogic Conflict Resolution,C,2.75,Low,25.484438059877448,13.160136869401226,17.600137713308605,21.937550599408375,0.2942,-0.3313,0.34,0.6997,0.8955,41,14,6,###; ###  4,4.0,2141,16
