institution,ukprn,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
Cardiff University / Prifysgol Caerdydd,10007814,26.0,Modern Languages and Linguistics,c8788ea9-4d84-4b43-b30d-7477a1698d92,Increased uptake of modern languages in secondary schools through mentoring in Wales and England,D,3.667,High,36.314986486486475,12.910752342342343,16.051360696178513,19.01304080491895,0.2974,0.0,0.3182,0.542,0.849,22,7,12,"230,000; 94,000\",324000.0,1789,39
University of Brighton,10000886,20.0,Social Work and Social Policy,2aeb04a9-e7af-446d-a4b9-f9faf2c7c08d,"Increasing access to HIV testing and prevention for Gay, Bisexual, and other Men who have Sex with Men (MSM)",C,3.125,High,21.591572632944235,13.939899295905134,18.243605946275583,21.16445870679798,0.2553,0.0,0.128,0.4939,0.7579,13,2,10,,0.0,1291,11
Loughborough University,10004113,27.0,English Language and Literature,cb7880fa-ac35-4594-9745-44d7bd85a27e,Increasing active citizenship and community action through Applied Storytelling,D,2.8339999999999996,Low,26.720366099150425,11.72778967893821,17.555745199009824,20.476448476919785,0.3286,0.0,0.4404,0.6756,0.8289,17,7,14,"30,000",30000.0,1673,23
Sheffield Hallam University,10005790,4.0,"Psychology, Psychiatry and Neuroscience",a9d457f9-e4d4-42a4-a9ea-65a47cd26b75,Increasing Adherence to Medication in Adults with Cystic Fibrosis,A,3.5,High,37.92939974457221,12.447248722860792,14.970199986440825,16.382310360993905,0.2459,-0.1761,0.0,0.6466,0.8979,15,3,16,"###; 2.5; ###  4; ####  Benefits to Patients with Cystic Fibrosis 

 Research; ####  Benefits; £8 million; 1,790; £2.5 million; ####  Benefits to",10501796.5,1185,22
University of Stirling,10007804,3.0,"Allied Health Professions, Dentistry, Nursing and Pharmacy",b62fa449-51dc-4b45-8e2b-477a4503985a,"Increasing awareness and intervention strategies to tackle depression, suicide and other psychiatric emergencies",A,3.2,High,26.499861530905264,12.548550254395245,16.89633530985517,20.64362133995037,0.1591,-0.5362,0.0,0.5106,0.7656,36,2,12,###; ###  4; 2017\-2027 \,2021.0,1550,29
York St John University,10007713,4.0,"Psychology, Psychiatry and Neuroscience",4c9548ce-0188-448b-806c-35b3c6f3668a,Increasing awareness of the nature and impact of peer-victimisation in adolescents and young adults.,A,3.0,Low,35.92006298944503,12.397790164723563,15.515553125672529,15.893522849986716,-0.0665,-0.7906,0.0,0.2016,0.5158,26,5,12,###; 2\; ###  4,6.0,2033,17
"University of Northampton, The",10007138,4.0,"Psychology, Psychiatry and Neuroscience",6e08c426-83ee-4d31-b777-d82579f52ec3,Increasing children’s agency and resistance strategies in situations of domestic violence and abuse,A,2.5,Low,18.696389261744997,12.682829440715883,18.998474389055165,21.40408482142857,-0.2282,-0.8516,-0.0772,0.0,0.3609,21,6,12,###; ###  4,4.0,1792,16
The University of Lancaster,10007768,9.0,Physics,93790e3b-71ac-42ce-96b3-d1a9a57921d3,Increasing commercialisation and public awareness of ultralow-temperature technologies.,B,3.1,Low,34.05894224563559,12.378115618445255,15.852665057135436,16.068667542791204,0.2011,-0.2686,0.0772,0.4588,0.7459,30,3,5,"###; ###  4; 1,692,000; 80",1692084.0,1642,14
Leeds Beckett University,10003861,13.0,"Architecture, Built Environment and Planning",30b1330b-e6ec-44bd-8a44-25d0f42f6bec,Increasing energy efficiency in homes and reducing the domestic energy performance gap.,C,2.8339999999999996,Low,44.01835289801912,11.544287674247983,15.118050844024072,14.078239438053544,0.2513,0.0,0.1525,0.4892,0.7284,18,0,3,"over £66 million pounds; 31; £66 million; millions of pounds; 53,000; millions of pounds; 10; up to £250 million; 350; up to £1.2 billion; £66 million; over £10 million",1658053391.0,1045,16
University of Newcastle upon Tyne,10007799,6.0,"Agriculture, Food and Veterinary Sciences",d875c6c1-deb5-4f6e-9667-0dd3136ec750,Increasing Equality for Women in Scottish Agriculture through policy change and investment,A,3.25,High,28.406195577306534,12.174463922421605,16.567214971974305,18.376758807588075,0.3295,0.0,0.34,0.6247,0.7778,30,6,5,###; ###  4; 300k,304.0,1230,12
Cardiff University / Prifysgol Caerdydd,10007814,27.0,English Language and Literature,213720ef-83d4-4268-8b2b-55afde79d060,Increasing everyday use of the Welsh language through policy change,D,3.9,High,36.46698933379645,13.115235936971603,15.085376665004905,17.02877093582935,0.2506,0.0,0.1012,0.4633,0.7565,25,11,4,"###  Cardiff; ###  a.; 750,000; over £7 million; ###  b.",7750000.0,1586,35
The University of Bath,10007850,12.0,Engineering,cfe9e7b1-4e3a-4b9d-87d2-ade1a6fc3466,Increasing extraction efficiency and reducing environmental impact of waste disposal in the oil industry using industrial tomography,B,3.556,High,40.65362421383651,12.537455974842768,15.903189008614273,15.525443064182198,0.1029,0.0,0.0,0.25,0.4895,16,5,0,,0.0,805,27
De Montfort University,10001883,17.0,Business and Management Studies,c2da17de-2e31-4963-a839-6c04e8691b90,Increasing Financial Independence of Serendipity Arts Limited,C,2.813,Low,13.569705754681905,13.044061354334616,20.15879917126067,23.18470315398887,0.2776,-0.3807,0.34,0.6486,0.8084,17,6,6,###; ###  4,4.0,1470,12
University of Glasgow,10007794,17.0,Business and Management Studies,17430be1-20f5-4b8e-9860-955fdca1e6c5,Increasing financial recoveries using insights from behavioural economics: A co-designed intervention with NHS Scotland,C,3.611,High,34.73347075346993,12.713371645736945,15.068120670005705,17.35537598944591,0.0209,-0.5859,0.0,0.3182,0.5922,15,6,3,"###; ###  4; approximately GBP10 million; over £100,000; 1000",10101004.0,1516,22
Queen Mary University of London,10007775,17.0,Business and Management Studies,5b8ecca5-11bc-4a72-b078-499cc324d157,Increasing Gender and Ethnic Diversity on UK Corporate Boards and in Senior Leadership,C,3.6,High,32.48885496183206,13.765517375499819,15.194113744984573,15.91845158197507,0.2298,0.0,0.0,0.4661,0.7003,21,10,2,,0.0,1192,21
Cranfield University,10007822,17.0,Business and Management Studies,ae42e941-9547-432f-8888-524f739aeeb5,Increasing Gender Diversity at Board Level in UK FTSE 350 Companies,C,3.625,High,42.01489324949907,12.208764851792994,15.491523631666261,15.715065666041276,0.2322,0.0,0.1752,0.4404,0.7269,38,5,2,###; ###  4; ###  Dynamics and Constituents of Board Composition; ###  Board Regulation; ###  Executive Pipeline,4.0,1066,14
University of Wolverhampton,10007166,17.0,Business and Management Studies,61ae63d6-e55f-43c7-b0f6-ca05d9e70056,Increasing gender diversity in leadership positions,C,2.75,Low,20.608278124188132,13.360492769921688,18.346078346570646,21.285949058693248,0.3181,-0.0129,0.4019,0.6621,0.8145,22,5,12,###; ###  4; 4\,8.0,1290,20
University of Exeter,10007792,17.0,Business and Management Studies,43d53af9-cfa2-4908-9ae8-cbf9c55d5b58,Increasing gender diversity on UK public and private sector boards,C,3.7140000000000004,High,36.70711936645861,12.7202639178376,15.443138226310019,16.80364843654032,0.2527,0.0,0.128,0.5106,0.7269,47,9,8,11trillion,11.0,1787,31
Sheffield Hallam University,10005790,24.0,"Sport and Exercise Sciences, Leisure and Tourism",f6b78a57-ac8e-46ee-8216-a85b5f8bac28,Increasing Investment in Sport by Evidencing the Impact of Major Events,C,3.8,High,24.460663082437293,12.688143369175627,17.73523830247787,21.92480625583567,0.4375,0.0,0.4393,0.79,0.8809,35,11,12,"###; ###  4; ####  Use; ####; #####; #####; #####  Enabling Infrastructure Developments 

 *eventIMPACTS* estimated the economic benefit of bringing The Open; #####; millions of pounds; 100m\+; #####  Public Investment; #####  ; #####  ",104.0,1904,26
University of Exeter,10007792,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",3f10242e-3ad5-46c0-a180-724c84f754fa,"Increasing knowledge and awareness of Black British theatre, film and television",D,3.75,High,21.69168682938107,13.286514143437808,18.314234863400856,19.768776346604213,0.1558,0.0,0.0,0.2957,0.5747,32,23,11,###; ###  4; ###  ; ###,4.0,1708,16
University of Edinburgh,10007790,17.0,Business and Management Studies,1a5c711e-42fe-4c79-a6de-bd99c154afdd,Increasing Leadership Skills and Confidence to Enhance Career Success of Female Senior Leaders in Scotland,C,3.5,High,28.352491249902783,12.506312885328358,16.780226820825483,17.703225606448115,0.3716,0.0,0.4404,0.6765,0.8613,16,5,1,,0.0,1683,31
Royal Holloway and Bedford New College,10005553,30.0,Philosophy,6099c309-f405-4b49-b40d-27c9cec8ffd6,Increasing Mental Wellbeing with Stoic Philosophy,D,2.25,Low,36.11313311688315,11.678764015151517,15.803259789257684,17.000195866540594,0.1927,0.0,0.0,0.4495,0.7453,23,12,15,,0.0,2019,20
Edge Hill University,10007823,14.0,Geography and Environmental Studies,38246e5a-6c9f-4be1-98d4-f5bfab580efe,Increasing palm oil sustainability to conserve Malaysia’s tropical peatland,C,1.75,Low,14.371404457018087,13.98687357157038,19.049804035940117,21.292388133254484,0.3196,-0.2611,0.4016,0.6569,0.7697,23,7,10,###; ###  4,4.0,1691,26
Anglia Ruskin University Higher Education Corporation,10000291,4.0,"Psychology, Psychiatry and Neuroscience",60ad43e3-60dd-48e3-9470-b208491108eb,Increasing parental emotional validation and children's emotional awareness using 'My First Emotions',A,3.0,Low,33.59109499252304,12.417671948066468,16.562452216208204,17.96156862745098,0.1347,-0.296,0.0,0.4215,0.6222,9,6,40,"###; 900,000; ###  4; about £900,000; ###  ; ###  \(b\; ###",1800004.0,1413,45
University of Wolverhampton,10007166,23.0,Education,e9ecfe3f-9314-4b04-854d-2d8dd45dc67f,Increasing participation and influencing policy in adult and lifelong learning to challenge social inequalities,C,1.6669999999999998,Low,23.2457797619048,12.519449166666668,17.80541091248751,19.90660727542687,0.2811,0.0,0.2732,0.5606,0.7382,26,3,4,###; ###  4,4.0,1347,22
Heriot-Watt University,10007764,25.0,Area Studies,ebcd46a0-0cfa-400e-9e6b-426225a572e9,"Increasing participation, access and inclusion for signing deaf communities",D,3.25,High,21.24497206703913,12.894655268734349,18.317879150049073,20.998398220244717,0.3128,0.0,0.3291,0.5541,0.8162,33,4,7,###; ###  4,4.0,899,12
"University of Nottingham, The",10007154,3.0,"Allied Health Professions, Dentistry, Nursing and Pharmacy",02a15ea1-20ad-45b9-80a1-8830e235fb0d,Increasing patient medicine adherence in chronic illness leading to improved patient health and substantial NHS cost savings.,A,3.5629999999999997,High,26.06144374698215,13.171530420086915,18.014585035323577,18.760938312561642,0.2312,0.0,0.0,0.4805,0.7445,26,6,6,,0.0,1174,24
The University of Leicester,10007796,24.0,"Sport and Exercise Sciences, Leisure and Tourism",6c9b745d-2d57-4b4e-957f-cbf4cada988f,Increasing Physical Activity and Promoting Healthy Lifestyles to Prevent and Manage Diabetes,C,4.0,High,21.624217809867645,13.89456202509885,18.036548138430668,20.678771952423894,0.3003,0.0,0.2846,0.5788,0.8396,21,9,22,1.2billion; over £1.7 million,1201700000.0,1109,21
The University of Manchester,10007798,12.0,Engineering,b393c936-6b01-4f1f-8fc5-c929bdd1d9f0,Increasing productivity in the process industries through the use of artificial intelligence and machine learning for the optimisation of distillation operations,B,3.539,High,15.654545454545456,13.891441125541126,18.58672797132859,20.480154776730117,0.4516,0.0,0.5719,0.7767,0.8503,16,3,6,#; ###; ###  ,0.0,803,19
The University of Leicester,10007796,34.0,"Communication, Cultural and Media Studies, Library and Information Management",464ccee0-b6a1-4b44-818d-0fb253e3799d,Developing innovative participatory communication strategies for marginalised farming cooperatives,D,3.667,High,32.88956129762357,11.961946794920156,16.6259611098352,17.813223986109385,0.2995,0.0,0.3612,0.6124,0.7506,6,3,11,###; ###  4,4.0,1466,19
The University of Leicester,10007796,34.0,"Communication, Cultural and Media Studies, Library and Information Management",464ccee0-b6a1-4b44-818d-0fb253e3799d,Developing innovative participatory communication strategies for marginalised farming cooperatives,D,3.75,High,32.88956129762357,11.961946794920156,16.6259611098352,17.813223986109385,0.2995,0.0,0.3612,0.6124,0.7506,6,3,11,###; ###  4,4.0,1466,19
University of Newcastle upon Tyne,10007799,28.0,History,016cf1b2-c6b9-44ea-a034-439c9511d8a6,Increasing Public Understanding of Greek Family History,D,2.625,Low,26.472663043478263,11.769732479296067,17.26055410069325,18.791106240330066,0.2373,0.0,0.0312,0.481,0.6636,23,17,13,###; ###  4,4.0,2216,17
"University of Nottingham, The",10007154,8.0,Chemistry,0480fd71-8fb3-4d52-9445-c7867d159367,Increasing Public Understanding of Green and Sustainable Chemistry,B,3.375,High,21.87479333652354,13.02417777644854,17.650647597118724,19.827389717425433,0.3017,0.0,0.3182,0.5423,0.794,34,13,12,###,0.0,1960,15
The University of Lancaster,10007768,9.0,Physics,b4d958a4-94e8-4bc4-a87d-f4aa4b79aff2,Increasing public understanding of research in quantum technologies through showcasing at exhibitions and media reports,B,3.1,Low,36.44532732617239,12.505178058295103,16.045920690153324,15.92830751264659,0.2768,0.0,0.2023,0.5646,0.7269,46,6,6,###; ###  4; ####  4.1; ####  ; more than 100 million; ####  4.1.2; ####  4.1.3; ####  4.2; ####  ; ####  4.4,100000024.9,2059,18
University College London,10007784,9.0,Physics,fe30305f-7b70-4b76-b3f4-a7abe375c719,Increasing public understanding of solar physics,B,3.111,Low,32.59798452652598,12.30501567109445,16.439396014739867,20.414883357383353,0.3436,0.0,0.3816,0.6185,0.8806,31,5,5,,0.0,1782,19
University of Oxford,10007774,28.0,History,212b91a4-a431-4afc-af48-0b68f4f9bf2b,Increasing Public Understanding of the Decolonisation of British India,D,3.45,High,26.343421052631584,12.650719757727654,18.320525048361986,21.225561890939254,0.0708,-0.5994,0.0258,0.3506,0.6696,20,3,10,###; ###  4,4.0,1378,14
The University of Westminster,10007165,27.0,English Language and Literature,3e972267-2d6f-4320-96a1-679a28de6136,Increasing Public Understanding of the History of the Chinese in Britain,D,3.333,High,22.8782654464664,12.456579052052476,18.697219927860118,22.388285714285708,0.335,0.0,0.34,0.6124,0.7982,36,24,15,###; ###  4,4.0,2380,28
The University of Manchester,10007798,12.0,Engineering,5631f95c-fa6f-4131-b6c3-c9be88bb77a1,Increasing renewable energy and reducing customer bills: using managed connections and flexible demand response controls in the electricity network to support decarbonisation with the minimum infrastructure investment,B,3.539,High,24.12171264991514,13.222646946044467,17.01402049751176,18.257429629629627,0.3216,-0.0386,0.3291,0.5473,0.8566,23,1,6,#; #; #; ###  i\; ###  ii\,0.0,1350,27
Bath Spa University,10000571,14.0,Geography and Environmental Studies,79cfa939-650e-468c-b601-db1e02c111ed,"Increasing Resilience in Remote Societies facing Interconnected Sustainable Development, Climate Change and Disaster Risk Challenges (India & Kiribati)",C,2.25,Low,25.4295624862244,12.72562920012175,16.42591723050815,18.8751820054945,0.0941,-0.7114,0.0258,0.5143,0.743,40,8,23,"###  Local Community Understanding; ###; ###  Disaster Risk Reduction Policy Development Pathways 

 ; ###  Enterprise Generation and Client Gain",0.0,2112,18
University of Cambridge,10007788,7.0,Earth Systems and Environmental Sciences,219a70c4-2abf-46c7-b2f1-86b24fff9f42,Increasing resilience to earthquake risk in developing countries,B,3.625,High,25.75488010977901,12.772006687852087,17.122413403193683,19.95172880143113,0.0793,-0.4767,0.0,0.3901,0.7506,23,3,17,1 billion; USD 50 billion; USD 10 million,51010000000.0,1300,22
Leeds Beckett University,10003861,17.0,Business and Management Studies,2e1741cb-ecba-47a4-ac8b-980e5c7030d7,Increasing small business innovation and productivity through action-orientated methods,C,2.5,Low,29.700732089396382,12.28602574438952,16.922973558063703,20.230888696555304,0.3874,0.0,0.4019,0.732,0.8356,12,11,8,"1,242,415; £3 million; 1,242,415",5484830.0,1635,28
"University of Nottingham, The",10007154,22.0,Anthropology and Development Studies,c17eef79-307a-4d6e-8ef0-2209c95968a3,Increasing the effectiveness of export subsidies in the Dominican  Republic and Nepal,C,3.0,Low,18.21331827072848,12.987926927953055,20.267338824336647,23.62067428612375,0.3378,-0.2186,0.3612,0.6703,0.8498,37,4,8,,0.0,1469,18
The Open University,10007773,31.0,Theology and Religious Studies,d2783860-a07d-4f19-8b7a-a026ae0e0c5f,Increasing the Present-Day Impact of Religious History and Archives,D,2.75,Low,27.355794466403182,12.233503904259992,17.785181666604544,20.032487155913692,0.2938,0.0,0.2732,0.5927,0.6908,34,7,8,###; ###  4; ###  Impact; ###  Impact; ###  Impact; ###  Impact,4.0,1681,16
"University of Northampton, The",10007138,27.0,English Language and Literature,f22a90e1-ce9b-45e7-8106-30d7c69ecdba,Increasing the Public Heritage of Katherine Mansfield in France and New Zealand,D,2.75,Low,22.916863947078298,13.27005635722161,19.042969648831484,23.55520912547528,0.3077,-0.4404,0.4767,0.6597,0.7659,24,24,14,###; ###  4,4.0,1841,32
The University of Kent,10007150,31.0,Theology and Religious Studies,9f8d51cb-077e-4a62-9639-b64defad9127,"Increasing the Recognition of Nonreligious Beliefs and Worldviews in Public Policy, Teaching and Public Understanding",D,4.0,High,19.884753231939186,12.856025666485605,19.507853414103284,23.251220302375806,0.257,0.0,0.2023,0.5303,0.6668,22,13,5,###; ###  4,4.0,1852,12
University of Bristol,10007786,1.0,Clinical Medicine,376de670-19c2-4ab6-bee8-a22ebbea7e11,Increasing the reliability of protocols for cardiac drug safety tests for international regulatory bodies and the pharmaceutical industry,A,3.7140000000000004,High,27.63636345336053,13.0986316927103,17.47673057361469,17.80995051731894,0.154,-0.4441,0.0,0.5105,0.7061,19,3,6,###; ###  4; ###  Drug; approximately USD1 billion; ###  Development; ###  Adoption; ###  Beneficiaries,1000000004.0,1026,18
University of Newcastle upon Tyne,10007799,3.0,"Allied Health Professions, Dentistry, Nursing and Pharmacy",1beb0c81-77f1-4341-b566-ac911fb7ed9a,Increasing the use of local community pharmacies for minor illnesses reduces the burden on hospitals and GPs,A,3.75,High,45.37212566844923,12.397312834224598,14.803905376888956,15.844866595517608,0.0758,-0.5927,0.0,0.582,0.8446,14,1,8,###; ###  4,4.0,937,15
The University of Liverpool,10006842,34.0,"Communication, Cultural and Media Studies, Library and Information Management",ceb7084e-197b-439b-bb12-d3996c9d6e06,"Increasing the value, visibility and efficiency of cultural programming at the Olympic Games",D,3.8329999999999997,High,24.267284386543707,13.19083018983466,18.05083334327289,18.353964682647252,0.2511,0.0,0.0129,0.5021,0.7021,37,6,7,,0.0,1666,16
University of Oxford,10007774,2.0,"Public Health, Health Services and Primary Care",450fa7ab-d637-4498-9fb7-c56d59161363,Increasing the intensity of cholesterol-lowering treatment to optimise cardiovascular risk reduction in high-risk populations,A,3.8329999999999997,High,21.010119386303614,13.22791231457021,18.52509206218772,21.7737397392564,0.2403,-0.296,0.1403,0.5473,0.8169,13,4,4,###; Hundreds of millions; ###  4; ####  Change; ####; ####  Effective; ####  Reduction; ####  Changing,4.0,1308,17
University of Oxford,10007774,18.0,Law,55be9c6b-54dc-476d-a299-ae943d6e99e5,Increasing Transparency in and Accountability in Algorithmic Decision Making,C,3.8329999999999997,High,14.982553511705703,13.146563411371238,19.367775980510235,21.53718440185063,0.2008,-0.2129,0.0,0.4603,0.7442,31,2,6,###; ###  Informing; ###  Changes; ###,0.0,1513,16
The University of Leeds,10007795,17.0,Business and Management Studies,efbda8b8-961b-4ee9-a2e0-b5319dda5c01,Increasing transparency of costs and fees in asset management to improve pension fund performance,C,3.611,High,35.79205516827241,12.435098188036866,15.903189008614273,18.561898926237163,0.2855,0.0,0.2559,0.481,0.7094,25,7,3,###; ###  4; ####  Industry; billions of pounds,4.0,1512,22
De Montfort University,10001883,3.0,"Allied Health Professions, Dentistry, Nursing and Pharmacy",5e65d1fc-cf8b-4fc3-96dd-4e388fddb5d1,Increasing Understanding of the Potential Health Risks from Foods Fried in Polyunsaturate-Rich Oils and Informing Industry’s Development of Alternative Cooking Oils,A,2.4,Low,26.552365310439257,12.381013038308932,18.03543907707895,21.067504835589936,0.2492,-0.2263,0.3182,0.4927,0.7003,30,6,14,###; ###  4,4.0,1551,17
University of Aberdeen,10007783,17.0,Business and Management Studies,0447e45b-fc68-4ed4-bd5b-479adf862706,Increasing uptake of free eye examinations among Scotland’s poorer citizens,C,2.9,Low,21.359792609902172,12.7093276325398,18.217251077147566,20.616702330992645,0.0829,-0.2603,0.0,0.1405,0.6034,35,5,3,###; ###  4,4.0,1174,16
University of Bristol,10007786,28.0,History,bb8a8a1e-bcce-4165-96c7-0f23315cb535,"Indian Suffragettes: Including BAME women in the history, commemoration and public discourse on suffrage",D,3.625,High,25.52803279080905,12.24450370375436,17.78951885486223,19.77192833344666,0.2573,0.0,0.2732,0.4939,0.702,23,12,10,###; ###  4; ###  ; ###  New; ###  ; ###  Contributing; ###  Influencing; ###,4.0,2101,21
Edinburgh Napier University,10007772,17.0,Business and Management Studies,1a6bdf55-f176-4437-b0fd-f799a30e6393,Indonesian tobacco marketing ethics: Influencing tobacco control policies to protect children and general public,C,2.667,Low,22.671147846332957,13.180798938965575,18.057383156478508,18.64404128819158,-0.0017,-0.4344,0.0,0.0,0.4439,18,5,6,###; ###  4,4.0,865,17
Kingston University,10003678,11.0,Computer Science and Informatics,283cf44d-e183-401e-acd0-4c127071a690,Industrial innovations through enhanced multimedia quality of experience,B,2.6670000000000003,Low,26.38255358768518,13.080885698915834,17.284191186976788,19.092103399865714,0.3249,-0.0578,0.4016,0.6124,0.7468,17,4,5,###; €5.7 billion; ###  4; over £800; 2.95; €5.7 billion,11400000806.95,1143,18
University of Keele,10007767,17.0,Business and Management Studies,ecfd26de-e829-4dfa-a3c1-71ad311e5d6c,Industrial Relations and Change Management in Public Services: the case of the English Fire Service,C,2.5,Low,18.85062213490508,13.524760604359622,17.77360955136429,19.091496399535423,0.179,-0.34,0.0,0.5106,0.7901,25,8,2,###; ###  4,4.0,1025,16
The University of Birmingham,10006840,17.0,Business and Management Studies,7094bfaf-f16f-452f-8785-f30bc3fb5c5a,Industrial Strategy in the West Midlands and beyond: Changing policy and practice towards growth in professional and business services,C,3.445,High,18.457252054486133,13.414784233304564,19.690404970938296,23.693221316365083,0.4315,0.0,0.4835,0.7603,0.8925,38,4,6,###; 2bn; ###  4; 65; 50; 25; 1; 12,159.0,1712,18
"University of Nottingham, The",10007154,10.0,Mathematical Sciences,2180a5d1-1967-44f5-8479-555d22f88c9b,Industrial use of mathematical models for drug safety testing,B,3.5,High,22.69558032187271,13.193661293343087,17.330762036536427,19.884313725490195,0.0418,-0.5714,0.0,0.3917,0.6629,20,7,13,###; ###  4; billions of dollars,4.0,1377,27
The University of East Anglia,10007789,8.0,Chemistry,2940d863-da1e-4e80-9781-f10591bfee6a,Industrialisation of olefin polymerisation catalysis,B,3.8329999999999997,High,19.630164835164862,13.253478288378288,17.621806361901758,19.26679693297057,0.1761,-0.065,0.0,0.4763,0.6007,15,3,9,$$$,0.0,933,22
University of Edinburgh,10007790,23.0,Education,941756d2-ba03-45eb-8f99-861bb98cfe3d,Inequalities and school curriculum: informing policy on widening access to higher education and promoting social mobility,C,3.4159999999999995,High,20.45265030593245,12.79070260707635,18.26928906751167,20.21768804433888,0.2692,0.0,0.0,0.5436,0.8427,33,7,5,###  Raised; ###,0.0,1263,14
University of Southampton,10007158,30.0,Philosophy,3d886a98-1e2e-4048-92e1-6b4e5021a4ca,Infant Feeding: Guilt and Shame,D,4.0,High,33.02199368421054,12.419907157894738,16.116549719268455,18.19839236717386,0.2367,0.0,0.128,0.5106,0.7837,20,12,13,###; ###  4,4.0,2532,30
"Imperial College of Science, Technology and Medicine",10003270,11.0,Computer Science and Informatics,39476dc8-8346-4bcd-a932-e70060d472ca,Infer: Scalable Static Analysis at Facebook and Beyond,B,4.0,High,30.42673125600072,12.368152086545829,15.257709288932599,17.67668941285789,0.1581,-0.1616,0.0,0.3918,0.5632,34,18,10,###; ###  4,4.0,1542,16
The University of Manchester,10007798,9.0,Physics,543eed9f-42ee-4536-9211-fd9562609ee2,Influence on graphene policy and global market growth,B,3.8570000000000007,High,28.315528962637103,13.745865442489162,17.219254097808864,20.886702939692157,0.245,0.0,0.0386,0.5824,0.8319,21,6,8,4\; ###  4.1; ###  4.2; ###  4.3,16.6,1321,21
Leeds Trinity University,10003863,31.0,Theology and Religious Studies,a49f6cd4-531a-4a54-bb3e-2f43be79cb05,Influence on policy and public debate on The Living Wage in Anchor institutions in Leeds,D,0.0,Low,32.49560990712078,12.554365711337168,15.939634415081986,19.460899524290035,0.2354,0.0,0.128,0.4588,0.7412,16,14,4,###; ###  4; 13.2million; 10bn,13200014.0,991,32
The University of Kent,10007150,18.0,Law,44fad3e3-8adc-47d0-96a0-fdb92af0b66b,Influencing Abortion Law Reform in the UK and South Australia,C,3.875,High,17.374918430278683,12.754727724748573,19.805759189991573,23.509412393978756,0.0602,-0.5167,0.0,0.34,0.6362,38,12,10,,0.0,1707,24
University of South Wales / Prifysgol De Cymru,10007793,17.0,Business and Management Studies,c59991fb-7a40-4867-a1f2-45d2095ccc2c,Influencing and Developing Women’s Entrepreneurship Policy in Wales and the UK,C,2.5,Low,21.378195121951222,13.115386287262874,17.09647582129633,19.461570397111913,0.3638,0.0,0.371,0.6218,0.855,20,3,3,Two Year Action Plan; Two Year Action Plan,0.0,1108,12
University of the Highlands and Islands,10007114,23.0,Education,53093211-e618-4d06-9921-6ff7a4a2aebb,"Influencing and impacting rural teacher education: researching and reconfiguring digital approaches, professional identify and agency in responding to a national need for teachers in rural and geographically dispersed communities",C,1.25,Low,19.372638655462197,13.734820224089637,18.057383156478508,20.981640696608615,0.3005,-0.1273,0.3818,0.5921,0.8819,17,7,3,,0.0,1091,31
The University of Lancaster,10007768,31.0,Theology and Religious Studies,9d5bd7d2-a483-459d-803f-293a9b236695,Influencing and Informing Policy and Practice regarding Uterus Transplantation and Other New Biomedical Technologies,D,3.375,High,26.863348773036364,12.37638535199238,17.80845673817403,19.88280211582802,0.2225,-0.1531,0.0098,0.5004,0.775,29,9,4,###; ###  4; #; #; ####  Effects,4.0,2121,25
King's College London,10003645,1.0,Clinical Medicine,521bf2a0-3dbe-4001-9ac5-c6c164ddef13,Influencing and informing the introduction of human papillomavirus testing into England’s cervical screening programme through evidence-based research,A,3.65,High,28.922198177676563,12.736445856570576,16.940280085163888,19.69827644784629,0.1241,-0.2576,0.0,0.3868,0.6369,24,2,4,###; several million GBP; £23 million,23000000.0,1766,11
The University of Cumbria,10007842,17.0,Business and Management Studies,b5c099ce-470d-4819-8afe-75cb8842a832,Influencing and shaping public policies to benefit local and regional economies,C,2.25,Low,20.382821047957407,13.250271083481351,18.27955012532631,20.375506180105944,0.3166,0.0,0.3918,0.6279,0.7674,55,6,17,"###; 21bn; 19,491; 23,685; 26,159; 394.5",69750.5,1699,19
University of Glasgow,10007794,17.0,Business and Management Studies,38651af0-eee1-438c-8c16-edb52acc216a,Influencing Capital Income Taxation in the United States,C,3.611,High,36.29000000000002,11.700269841269842,15.258346747703118,16.255842896715478,0.1002,-0.296,0.0,0.3544,0.6114,22,12,7,"###; ###  4; 1; 60 cent; 4,000; 4,000",8065.0,1444,26
The University of Kent,10007150,19.0,Politics and International Studies,59b6d7cf-8d5d-4d18-892e-077e7bc6f563,"Influencing Centre-Left Party and Think-Tank Understandings of Postliberal Politics in the UK, France, and Australia",C,3.125,High,25.36387114131645,12.791399605797237,18.141410684084303,20.213538812519637,0.3631,0.0,0.4019,0.6124,0.8498,31,28,5,,0.0,1621,26
University of Central Lancashire,10007141,3.0,"Allied Health Professions, Dentistry, Nursing and Pharmacy",a2dd9225-0968-41ea-af8f-4499ec63c718,Influencing Change in UNICEF’s Baby Friendly Hospital Initiative in the UK and World-wide,A,3.0,Low,19.152745098039247,13.365019607843138,18.306979414773714,20.498527757397895,0.401,0.0,0.4939,0.7429,0.8808,29,7,6,,0.0,1363,17
